amplitude_d,direction_deg,delta_c_x,delta_c_y,receiver_id,candidate_bias_x,candidate_bias_y,candidate_bias_norm_d,linear_prediction_x,linear_prediction_y,linear_error_d,accepted,full_residual_rad,message
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,3,2.6149910006267874e-06,-6.47044263502039e-07,2.693853042073747e-06,2.615011793823487e-06,-6.470476127563016e-07,2.106120920327656e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,4,8.365128886911322e-06,4.829582481269412e-06,9.659205362659117e-06,8.365163037378081e-06,4.829629131445345e-06,5.781430008606049e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,5,4.949727260949999e-06,-6.062261803663205e-12,4.949727260953711e-06,4.949747468305832e-06,0.0,2.109711468333455e-11,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,6,2.241429529981076e-06,-1.2940918763248987e-06,2.588180851919217e-06,2.241438680420134e-06,-1.294095225512604e-06,9.744105563620448e-12,True,0.0,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,7,6.970958000174221e-06,7.2443970465796426e-06,1.005363337349661e-05,6.970969197815067e-06,7.2444436971680124e-06,4.797566628800873e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,8,5.691513936367798e-06,1.095325902644717e-06,5.795952874279891e-06,5.691529426552888e-06,1.0953353488403287e-06,1.8143220377478508e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,9,3.854401628977655e-06,-7.417829042122293e-07,3.925131054429537e-06,3.854412119465505e-06,-7.417819582470549e-07,1.0533052047867384e-11,True,2.220446049250313e-16,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,10,1.8678599258414863e-06,-1.9411394895918477e-06,2.6938677065916696e-06,1.8678655670167773e-06,-1.9411428382689055e-06,6.560220781432106e-12,True,4.440892098500626e-16,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,12,9.112290663804146e-06,4.1649589592345956e-22,9.112290663804146e-06,9.112309264184791e-06,0.0,1.8600380645303815e-11,True,0.0,`gtol` termination condition is satisfied.
1e-05,135,-7.0710678118654756e-06,7.071067811865476e-06,13,7.071053377938341e-06,4.070567076956591e-22,7.071053377938341e-06,7.0710678118654756e-06,0.0,1.4433927134469189e-11,True,0.0,`gtol` termination condition is satisfied.
