amplitude_d,direction_deg,gain,rho,seed,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.005,0,0.5,0.0,ideal,4,4,3.141320330498899,1.5705257365573697,1.5707945939415293,3.141592653589793,1.5707963267948966,1.5707963267948968,0.00027232309089431084,4,3,0.9995312507328407,1.7317835561777555,0.0,True,3,0.00023437463357967037,0.00013362569556085724,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,5,2.284882104568292,2.2841604165054625,1.7141427861058325,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0003613988286295111,4,3,1.9995625002132806,1.732052701999335,8.881784197001252e-16,True,3,0.0002187498933596821,-9.472152289191627e-07,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,6,1.5710670016022126,3.141323713419817,1.5707945921575572,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0002706748073160181,4,3,2.999531250732011,1.732324824803767,4.440892098500626e-16,True,3,0.0002343746339945607,-0.00013700861744492254,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,7,3.141408784728217,1.2895810225912387,1.851827762136978,3.141592653589793,1.289761425292083,1.8518312282977105,0.00018386886157628624,4,3,0.49960839989109596,0.8656228356615233,5.995204332975845e-15,True,3,0.0001958000544520222,0.00020128406145752953,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,8,2.2847534986340836,1.7139123510037397,2.284519457541763,2.2845207057396624,1.714143895700262,2.2845207057396624,0.00023279289442124096,4,3,1.4995781252356903,0.8659456345668398,4.440892098500626e-16,True,3,0.00021093738215482993,3.98846087992788e-05,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,9,1.714376293304162,2.2842895565258536,2.284519457349571,1.714143895700262,2.2845207057396624,2.2845207057396624,0.0002323976039000364,4,3,2.499578125236284,0.8661080146477051,4.440892098500626e-16,True,3,0.0002109373818579563,-4.130543163338718e-05,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,10,1.2899418655727017,3.141415682139305,1.85182775946758,1.289761425292083,3.141592653589793,1.8518312282977105,0.00018044028061869888,4,3,3.4996103530386455,0.8664347377548234,5.995204332975845e-15,True,3,0.00019482348067723088,-0.00020466698519250315,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,12,1.8519977636365563,1.2895948899532368,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,0.00016653533884625205,4,3,0.9993749999999592,-1.6651955278754433e-16,0.0,True,3,0.00031250000002042144,8.325977639377217e-17,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,13,1.5709767487520607,1.5706159048377324,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.00018042195716416742,4,3,1.9993749999999995,-2.8349869103150866e-20,0.0,True,3,0.0003125000000002709,1.4174934551575433e-20,True,observe_and_move,
0.005,0,0.5,0.0,ideal,4,14,1.2899279766446905,1.8516646769451028,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,0.00016655135260745801,4,3,2.99937500000004,1.6660314512403116e-16,0.0,True,3,0.0003124999999799538,-8.330157256201558e-17,True,observe_and_move,
0.005,0,0.5,0.0,ideal,5,2,3.1413212682251777,1.8515606383790464,1.289760629846131,3.141592653589793,1.85183122829771,1.289761425292083,0.0002713853646154618,5,3,1.499727246430096,2.5980109187147113,1.5543122344752192e-15,True,3,0.00013637678495204142,3.264631930233186e-05,True,observe_and_move,
0.005,0,0.5,0.0,ideal,5,3,1.8521019027863248,3.141322776443781,1.2897606279494807,1.85183122829771,3.141592653589793,1.289761425292083,0.00027067448861473054,5,3,2.499725879241252,2.59814624007344,1.3322676295501878e-15,True,3,0.00013706037937399884,-3.501436006203562e-05,True,observe_and_move,
0.005,0,0.5,0.0,ideal,5,4,3.141456155117043,1.570661021951549,1.5707951331654937,3.141592653589793,1.5707963267948966,1.5707963267948968,0.00013649847275010174,5,3,0.9997656268293683,1.7319178582716532,0.0,True,3,0.0001171865853158427,6.647464861198049e-05,True,observe_and_move,
0.005,0,0.5,0.0,ideal,5,5,2.2847015097596612,2.284340666257414,1.714143131162511,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0001808040199988703,5,3,1.9997812503759764,1.7320521336702324,2.220446049250313e-16,True,3,0.00010937481201178656,-6.630506775850975e-07,True,observe_and_move,
