slot,transmitters,slot_transmitter_uses,transmitter_uses,cumulative_transmitter_uses,endpoint_displacement_m,cumulative_endpoint_m,max_position_error_m,rms_position_error_m,max_radial_error_m,max_angular_error_deg,max_adjacent_gap_error_deg,max_tangential_error_m
70,0-1-7-8,4,280,280,5.739181713137304e-08,64.90836373159279,1.5619488872821338e-06,6.327302475183963e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
71,0-1-4-5,4,284,284,1.1443162092654941e-07,64.9083638460244,1.5619488872821338e-06,6.292613425073594e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
72,0-1-7-8,4,288,288,3.010478127712479e-08,64.90836387612919,1.5619488872821338e-06,6.290183023539427e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
73,0-1-4-5,4,292,292,6.232772229728878e-08,64.90836393845692,1.5619488872821338e-06,6.279808311537415e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
74,0-1-7-8,4,296,296,1.5760337955675724e-08,64.90836395421725,1.5619488872821338e-06,6.279141930854227e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
75,0-1-4-5,4,300,300,3.384096348108891e-08,64.90836398805821,1.5619488872821338e-06,6.276069139436117e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
76,0-1-7-8,4,304,304,8.235942268287546e-09,64.90836399629416,1.5619488872821338e-06,6.275887306762543e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
77,0-1-4-5,4,308,308,1.8320009741112527e-08,64.90836401461416,1.5619488872821338e-06,6.274983772614077e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
78,0-1-7-8,4,312,312,4.1960045669956844e-09,64.90836401881018,1.5619488872821338e-06,6.274934363679507e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
79,0-1-4-5,4,316,316,9.888089956092366e-09,64.90836402869826,1.5619488872821338e-06,6.274670327553021e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
80,0-1-7-8,4,320,320,2.186148383802516e-09,64.90836403088441,1.5619488872821338e-06,6.274656937258383e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
81,0-1-4-5,4,324,324,5.323430005461089e-09,64.90836403620784,1.5619488872821338e-06,6.274580209574632e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
82,0-1-7-8,4,328,328,1.1371758176858117e-09,64.90836403734502,1.5619488872821338e-06,6.274576590341055e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
83,0-1-4-5,4,332,332,0.0,64.90836403734502,1.5619488872821338e-06,6.274576590341055e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
84,0-1-7-8,4,336,336,0.0,64.90836403734502,1.5619488872821338e-06,6.274576590341055e-07,7.83284519911831e-07,8.409598784397885e-07,8.40959863523949e-07,1.4677518755945584e-06
