phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
4,26,0-1-2-6,0-1-7-8,0.911190446366968,0.9545629609234626,1.3132511317255195,1.4142108465353396
10,27,0-1-3-6,0-1-7-9,0.9111904463669684,0.9545629609234628,1.3320308273310735,1.4208058160443056
4,27,0-1-2-6,0-1-7-9,0.9111904463669682,0.9545629609234627,1.356734226544923,1.4844898231097636
8,22,0-1-3-4,0-1-5-9,0.9111904463669676,0.9545629609234624,1.3915959961973283,1.4915446582049856
8,21,0-1-3-4,0-1-5-8,0.9111904463669668,0.9545629609234619,1.5007939120412033,1.5599084886949408
2,22,0-1-2-4,0-1-5-9,0.9111904463669676,0.9545629609234624,1.4562527561407823,1.5666607714136933
2,21,0-1-2-4,0-1-5-8,0.9111904463669687,0.9545629609234629,1.5368663986738862,1.620163810910522
13,26,0-1-3-9,0-1-7-8,0.9164445920667208,0.9573111260539704,1.5767871306371268,1.5669486211745696
6,8,0-1-2-8,0-1-3-4,0.9164445920667194,0.9573111260539696,1.5767871306371268,1.56694862117457
14,23,0-1-4-5,0-1-6-7,0.9222548555491195,0.9603410100319154,1.1399568607898276,1.15562747341508
14,24,0-1-4-5,0-1-6-8,0.9222548555491199,0.9603410100319156,1.2907982208673365,1.376274680443569
9,23,0-1-3-5,0-1-6-7,0.9222548555491195,0.9603410100319154,1.3167846842665196,1.3811077842140533
14,25,0-1-4-5,0-1-6-9,0.9222548555491206,0.960341010031916,1.297596948643574,1.3825710858602143
3,23,0-1-2-5,0-1-6-7,0.9222548555491207,0.9603410100319161,1.324645303823575,1.393583911099923
9,24,0-1-3-5,0-1-6-8,0.9222548555491193,0.9603410100319153,1.4018500690555342,1.5013881432298786
9,25,0-1-3-5,0-1-6-9,0.9222548555491197,0.9603410100319155,1.4049181954567624,1.509169634461789
3,25,0-1-2-5,0-1-6-9,0.9222548555491188,0.9603410100319151,1.4144733315072366,1.514975341462223
3,24,0-1-2-5,0-1-6-8,0.9222548555491182,0.9603410100319147,1.4713002019088717,1.563769662878949
6,15,0-1-2-8,0-1-4-6,0.9259472280758733,0.962261517507519,1.6008355460004489,1.2738052012882262
13,20,0-1-3-9,0-1-5-7,0.9259472280758735,0.9622615175075191,1.6008355460004493,1.2738052012882264
6,9,0-1-2-8,0-1-3-5,0.9344333781588452,0.9666609427088927,1.6359645802221012,1.2962289547174914
13,24,0-1-3-9,0-1-6-8,0.9344333781588479,0.9666609427088941,1.6359645802221008,1.2962289547174919
6,20,0-1-2-8,0-1-5-7,0.9354070464810638,0.9671644361126311,1.5998763285143902,1.5553222769680386
13,15,0-1-3-9,0-1-4-6,0.9354070464810648,0.9671644361126317,1.599876328514392,1.5553222769680397
18,21,0-1-4-9,0-1-5-8,0.9378770705263463,0.9684405353589586,1.4247064354165042,1.4567478460527545
5,10,0-1-2-7,0-1-3-6,0.9378770705263463,0.9684405353589586,1.4247064354165042,1.4567478460527554
12,16,0-1-3-8,0-1-4-7,0.9427584023134951,0.9709574667890942,1.407533262360178,1.3791479260254451
7,19,0-1-2-9,0-1-5-6,0.9447552423231046,0.9719852068437588,2.2244351622009835,1.4541941414796147
7,23,0-1-2-9,0-1-6-7,0.963749014816036,0.9817071940329438,2.1541811546594576,1.84110804606308
7,14,0-1-2-9,0-1-4-5,0.9637490148160354,0.9817071940329435,2.1541811546594576,1.8411080460630802
5,22,0-1-2-7,0-1-5-9,1.0000000000000002,1.0,1.3566283690725882,1.3885527766244365
4,22,0-1-2-6,0-1-5-9,1.0000000000000004,1.0000000000000002,1.307899952427247,1.402386263514201
4,18,0-1-2-6,0-1-4-9,1.0000000000000007,1.0000000000000002,1.2836604391894122,1.4042817885029562
6,10,0-1-2-8,0-1-3-6,1.000000000000002,1.0000000000000009,1.6568070938120634,1.4888676552286142
13,21,0-1-3-9,0-1-5-8,1.0000000000000013,1.0000000000000007,1.6568070938120638,1.4888676552286144
10,18,0-1-3-6,0-1-4-9,1.000000000000002,1.0000000000000009,1.3774617038326789,1.4900401960369527
5,25,0-1-2-7,0-1-6-9,1.0000000000000002,1.0,1.4045938581677322,1.5061330266483868
