section,method,slot,max_position_error_m,transmitter_uses,cumulative_endpoint_m,event
trajectory,two_configuration,56,1.7402382489874057e-05,224,64.83845270305797,
trajectory,two_configuration,57,8.700059954566534e-06,228,64.8384702133267,
trajectory,two_configuration,58,9.885585757590867e-06,232,64.83847855527387,
trajectory,two_configuration,59,4.942227208265186e-06,236,64.83848834839948,
trajectory,two_configuration,60,5.5753105779279216e-06,240,64.83849280017525,
trajectory,two_configuration,61,2.7873724425647143e-06,244,64.83849808984891,
trajectory,two_configuration,62,3.1241804694721966e-06,248,64.83850043271974,
trajectory,two_configuration,63,1.5619488872821338e-06,252,64.83850332895217,
trajectory,two_configuration,64,1.5619488872821338e-06,256,64.83850372114117,
trajectory,two_configuration,65,1.5619488872821338e-06,260,64.83850441429901,
trajectory,two_configuration,66,1.5619488872821338e-06,264,64.83850462149444,
trajectory,two_configuration,67,1.5619488872821338e-06,268,64.83850500320949,
trajectory,two_configuration,68,1.5619488872821338e-06,272,64.83850511238597,
trajectory,two_configuration,69,1.5619488872821338e-06,276,64.83850532176646,
trajectory,two_configuration,70,1.5619488872821338e-06,280,64.83850537915828,
trajectory,two_configuration,71,1.5619488872821338e-06,284,64.83850549358989,
trajectory,two_configuration,72,1.5619488872821338e-06,288,64.83850552369468,
trajectory,two_configuration,73,1.5619488872821338e-06,292,64.8385055860224,
trajectory,two_configuration,74,1.5619488872821338e-06,296,64.83850560178274,
trajectory,two_configuration,75,1.5619488872821338e-06,300,64.8385056356237,
trajectory,two_configuration,76,1.5619488872821338e-06,304,64.83850564385965,
trajectory,two_configuration,77,1.5619488872821338e-06,308,64.83850566217966,
trajectory,two_configuration,78,1.5619488872821338e-06,312,64.83850566637567,
trajectory,two_configuration,79,1.5619488872821338e-06,316,64.83850567626375,
trajectory,two_configuration,80,1.5619488872821338e-06,320,64.8385056784499,
trajectory,two_configuration,81,1.5619488872821338e-06,324,64.83850568377333,
trajectory,two_configuration,82,1.5619488872821338e-06,328,64.83850568491052,
trajectory,two_configuration,83,1.5619488872821338e-06,332,64.83850568491052,
trajectory,two_configuration,84,1.5619488872821338e-06,336,64.83850568491052,
event,main,92,,,,首次 1 cm
event,main,113,,,,首次 1 mm
event,main,145,,,,最后动作
event,main,196,,,,协议停止
event,two_configuration,31,,,,首次 1 cm
event,two_configuration,41,,,,首次 1 mm
event,two_configuration,82,,,,最后动作
event,two_configuration,84,,,,协议停止
