section,method,slot,max_radial_error_m,max_angular_error_deg,gain,input_component,output_component,operator_norm,period_slots,input_drone,input_amplitude_m,largest_cross_output_drone,largest_cross_output_component,signed_cross_output_m,linear_predicted_cross_output_m,center_difference_max_error,selection_changes
trajectory,two_configuration,21,0.05039993715050173,0.013166419184790999,,,,,,,,,,,,,
trajectory,two_configuration,22,0.04324357774542875,0.013166419184790999,,,,,,,,,,,,,
trajectory,two_configuration,23,0.03623165172723475,0.00972065074328075,,,,,,,,,,,,,
trajectory,two_configuration,24,0.031139755148359427,0.00972065074328075,,,,,,,,,,,,,
trajectory,two_configuration,25,0.025998720861565516,0.007103542030250664,,,,,,,,,,,,,
trajectory,two_configuration,26,0.022372855463416386,0.007103542030250664,,,,,,,,,,,,,
trajectory,two_configuration,27,0.018632220124274568,0.005155161645154358,,,,,,,,,,,,,
trajectory,two_configuration,28,0.016048248746812988,0.005155161645154358,,,,,,,,,,,,,
trajectory,two_configuration,29,0.013341209646128505,0.00372348195610575,,,,,,,,,,,,,
trajectory,two_configuration,30,0.01149848721188107,0.00372348195610575,,,,,,,,,,,,,
trajectory,two_configuration,31,0.009546866982816482,0.0021517986040821436,,,,,,,,,,,,,
trajectory,two_configuration,32,0.007201204185491861,0.00267926016024628,,,,,,,,,,,,,
trajectory,two_configuration,33,0.006072181450235803,0.0015093779392950594,,,,,,,,,,,,,
trajectory,two_configuration,34,0.004256831702051045,0.0019089958599776656,,,,,,,,,,,,,
trajectory,two_configuration,35,0.003652199250467447,0.0010221245183294387,,,,,,,,,,,,,
trajectory,two_configuration,36,0.0024398934654925597,0.0013178347353461298,,,,,,,,,,,,,
trajectory,two_configuration,37,0.002126639359772753,0.0006702692529891858,,,,,,,,,,,,,
trajectory,two_configuration,38,0.0013719292933700444,0.0008813128129956206,,,,,,,,,,,,,
trajectory,two_configuration,39,0.0012121132170506144,0.00044034062092792903,,,,,,,,,,,,,
trajectory,two_configuration,40,0.00076121850101174,0.0005726256945150682,,,,,,,,,,,,,
trajectory,two_configuration,41,0.0006817837067529808,0.0002861553856794749,,,,,,,,,,,,,
trajectory,two_configuration,42,0.000418152544853001,0.0003628143422044379,,,,,,,,,,,,,
trajectory,two_configuration,43,0.00038274266097459986,0.00018132860923880963,,,,,,,,,,,,,
trajectory,two_configuration,44,0.00023784839508778077,0.00022496366707263615,,,,,,,,,,,,,
trajectory,two_configuration,45,0.0002124108886647491,0.00011244261528698508,,,,,,,,,,,,,
trajectory,two_configuration,46,0.00014295784453111082,0.00013693208778602916,,,,,,,,,,,,,
trajectory,two_configuration,47,0.00011678233703094065,6.844645691773088e-05,,,,,,,,,,,,,
trajectory,two_configuration,48,8.469456356863247e-05,8.203559134178035e-05,,,,,,,,,,,,,
trajectory,two_configuration,49,6.370817109768723e-05,4.100800974024625e-05,,,,,,,,,,,,,
trajectory,two_configuration,50,4.955777761495028e-05,4.8478735753779807e-05,,,,,,,,,,,,,
trajectory,two_configuration,51,3.452690096139577e-05,2.4234503460226758e-05,,,,,,,,,,,,,
trajectory,two_configuration,52,2.8687077801237137e-05,2.830982669511994e-05,,,,,,,,,,,,,
trajectory,two_configuration,53,1.860699011047018e-05,1.4152479714339901e-05,,,,,,,,,,,,,
trajectory,two_configuration,54,1.644991152716102e-05,1.6361055307593044e-05,,,,,,,,,,,,,
trajectory,two_configuration,55,9.978832295587381e-06,8.179310290131082e-06,,,,,,,,,,,,,
trajectory,two_configuration,56,9.354685317930489e-06,9.369516547700775e-06,,,,,,,,,,,,,
trajectory,two_configuration,57,5.328868965648326e-06,4.684149388462168e-06,,,,,,,,,,,,,
trajectory,two_configuration,58,5.2806812647077095e-06,5.322441218377732e-06,,,,,,,,,,,,,
trajectory,two_configuration,59,2.961347988161833e-06,2.6609161156058817e-06,,,,,,,,,,,,,
trajectory,two_configuration,60,2.961347988161833e-06,3.0017707665975867e-06,,,,,,,,,,,,,
trajectory,two_configuration,61,1.6508972464635008e-06,1.5007331237850825e-06,,,,,,,,,,,,,
trajectory,two_configuration,62,1.6508972464635008e-06,1.6820719146155383e-06,,,,,,,,,,,,,
trajectory,two_configuration,63,9.154453692872266e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,64,9.154453692872266e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,65,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,66,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,67,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,68,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,69,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,70,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,71,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,72,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,73,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,74,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,75,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,76,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
trajectory,two_configuration,77,7.83284519911831e-07,8.409598784397885e-07,,,,,,,,,,,,,
