a,b,rank,rank_tolerance,sigma_min_rad_per_m,sigma_max_rad_per_m,condition_number
2-6,4-9,16,5.0276981672662966e-11,0.004984220397208588,0.050276981672662965,10.087230833696797
2-6,5-7,16,6.710500922378736e-11,0.0034864720541580596,0.06710500922378736,19.247252862318554
2-6,5-8,16,5.98291733124027e-11,0.0045737236921815395,0.059829173312402686,13.081064213537095
2-6,5-9,16,5.879404452282669e-11,0.0038999134104942927,0.05879404452282668,15.075730749461655
2-6,7-8,16,5.4042811947656964e-11,0.0036809054272728403,0.05404281194765696,14.681934381480955
2-6,7-9,16,5.823322915443954e-11,0.003946989591978733,0.05823322915443954,14.753833978377846
2-6,8-9,16,4.7013715440517556e-11,0.00487244777310686,0.04701371544051755,9.648890584319142
2-7,3-4,16,5.679373094499874e-11,0.0033165103477211413,0.05679373094499873,17.124545076128936
2-7,3-5,16,5.891699515472092e-11,0.0035292844914112413,0.058916995154720916,16.69375061661918
2-7,3-6,16,5.958132054019326e-11,0.0024239708771116968,0.05958132054019325,24.580048012452973
2-7,3-8,16,6.047491701972287e-11,0.0033375133789302356,0.060474917019722865,18.119752688184498
2-7,3-9,16,5.980109493721187e-11,0.004960909227037052,0.05980109493721186,12.054462639891641
2-7,4-5,16,4.859640839988925e-11,0.0042014226096551656,0.04859640839988925,11.566655610461865
2-7,4-6,16,5.786791914215888e-11,0.0035359391970773276,0.05786791914215888,16.36564316207425
2-7,4-8,16,5.976717338881332e-11,0.004164785560639441,0.059767173388813315,14.350600413538928
2-7,4-9,16,4.909919657775847e-11,0.005611176143135062,0.049099196577758464,8.750250451115921
2-7,5-6,16,5.4957562975652215e-11,0.0032581627180759036,0.05495756297565221,16.867654482311185
2-7,5-8,16,6.055868704159297e-11,0.0047174392564377065,0.060558687041592965,12.837194874094218
2-7,5-9,16,5.027698167266299e-11,0.00498422039720858,0.050276981672662986,10.087230833696816
2-7,6-8,16,6.728621241845952e-11,0.003900553994147327,0.06728621241845952,17.25042456005496
2-7,6-9,16,5.955883060660633e-11,0.00457121600209654,0.059558830606606335,13.029100042371724
2-7,8-9,16,5.4338779099404837e-11,0.005405376460560838,0.054338779099404835,10.052727963699846
2-8,3-4,16,5.6363927389993117e-11,0.0035212459259909893,0.056363927389993115,16.006813660460406
2-8,3-5,16,5.838389680664306e-11,0.004139413708530181,0.05838389680664305,14.10438794419849
