configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual,perturbation_level,perturbation_seed
3-4-11,36,0,36,24,24,24,2.840923013744974e-16,2.2261439142604065e-16,24,24,24,3.7881592987507086e-17,0.013,20260906
3-4-12,36,0,36,24,24,24,2.8718538746609183e-16,2.298188938675484e-16,24,24,24,4.5186095584786306e-17,0.013,20260906
3-4-13,36,0,36,24,24,24,3.2665414089275437e-16,2.2551947590955515e-16,24,24,24,3.669485679485831e-17,0.013,20260906
3-4-14,36,0,36,24,24,24,3.0906464852202796e-16,2.341569818163333e-16,24,24,24,4.562978520846062e-17,0.013,20260906
3-4-15,36,0,36,24,24,24,3.563693582376562e-16,2.2088122254586305e-16,24,24,24,4.086079280199998e-17,0.013,20260906
3-5-6,36,0,36,24,24,24,1.6460295396340649e-16,1.4350908974849212e-16,24,24,24,3.7737922887159795e-17,0.013,20260906
3-5-7,36,0,36,24,24,24,3.5212534550611996e-16,3.128960604093698e-16,24,24,24,4.7388836264718084e-17,0.013,20260906
3-5-8,36,0,36,24,24,24,2.2871115699817433e-16,1.1605131569645975e-16,24,24,24,3.6430466665312196e-17,0.013,20260906
3-5-9,36,0,36,24,24,24,3.210754607944835e-16,1.6625204594317047e-16,24,24,24,3.332878189393061e-17,0.013,20260906
3-5-10,36,0,36,24,24,24,3.6997448153998754e-16,2.541422336538547e-16,24,24,24,4.523608977892376e-17,0.013,20260906
3-5-11,36,0,36,24,24,24,3.232682082032739e-16,2.6574640671771014e-16,24,24,24,3.2154188862121626e-17,0.013,20260906
3-5-12,36,0,36,24,24,24,3.600281217477097e-16,2.944365509732398e-16,24,24,24,3.919200521180543e-17,0.013,20260906
3-5-13,36,0,36,24,24,24,2.877960826285862e-16,1.7715848149596425e-16,24,24,24,3.156401430086773e-17,0.013,20260906
3-5-14,36,0,36,24,24,24,2.727193137289586e-16,2.1475521193153134e-16,24,24,24,4.4102023272625843e-17,0.013,20260906
3-5-15,36,0,36,24,24,24,2.6162610071549017e-16,1.7797867079610632e-16,24,24,24,3.918112019939329e-17,0.013,20260906
3-6-7,36,0,36,24,24,24,4.3545484366380607e-16,3.926506346093236e-16,24,24,24,4.9117466893949386e-17,0.013,20260906
3-6-8,36,0,36,24,24,24,2.9394739865829083e-16,1.9207891268992813e-16,24,24,24,3.787437203925846e-17,0.013,20260906
3-6-9,36,0,36,24,24,24,2.4070807872893443e-16,1.9198537017130665e-16,24,24,24,3.966269936254844e-17,0.013,20260906
3-6-10,36,0,36,24,24,24,2.100028524081089e-16,1.1850058873121327e-16,24,24,24,4.817313857733837e-17,0.013,20260906
3-6-11,36,0,36,24,24,24,2.5970821885796356e-16,2.257413780782732e-16,24,24,24,4.1360448818500405e-17,0.013,20260906
3-6-12,36,0,36,24,24,24,2.86936390714577e-16,2.6034528173922894e-16,24,24,24,4.6209921094873244e-17,0.013,20260906
3-6-13,36,0,36,24,24,24,2.390990625626347e-16,1.9474985827024506e-16,24,24,24,4.072441523149835e-17,0.013,20260906
3-6-14,36,0,36,24,24,24,2.1807072247500253e-16,1.7205488246054065e-16,24,24,24,4.755350430430838e-17,0.013,20260906
3-6-15,36,0,36,24,24,24,1.6717947529192933e-16,1.2664089897331894e-16,24,24,24,4.473431961720913e-17,0.013,20260906
3-7-8,36,0,36,24,24,24,3.483206186296669e-16,2.111700609230547e-16,24,24,24,4.5345754845891967e-17,0.013,20260906
3-7-9,36,0,36,24,24,24,3.896921492843194e-16,2.540168703122848e-16,24,24,24,4.615974326253526e-17,0.013,20260906
3-7-10,36,0,36,24,24,24,2.783973526608423e-16,2.308119328080237e-16,24,24,24,5.261613905714754e-17,0.013,20260906
