rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.05,47,0.5,13,1,-1.027157114918964e-06,-4.647051504047539e-06,2.000001027157115,3.4641062621892584,13
0.05,47,0.5,14,1,-5.13578557459482e-07,-2.323525752245814e-06,2.0000005135785575,3.464103938663506,14
0.05,47,0.5,15,1,-2.56789278729741e-07,-1.1617628754567733e-06,2.0000002567892787,3.4641027769006305,15
0.05,47,0.5,16,1,-1.283946393648705e-07,-5.808814385055427e-07,2.0000001283946394,3.464102196019192,16
0.05,47,0.5,17,1,-6.419731968243525e-08,-2.9044071880868216e-07,2.0000000641973195,3.464101905578473,17
0.05,47,0.5,18,1,-3.209865950815072e-08,-1.4522035884922957e-07,2.0000000320986597,3.464101760358114,18
0.05,47,0.5,19,1,-1.604932986509766e-08,-7.26101800907486e-08,2.00000001604933,3.464101687747934,19
0.05,47,0.5,20,1,-8.02466493254883e-09,-3.6305089823329695e-08,2.000000008024665,3.464101651442844,20
0.1,11,0.5,1,1,-0.06297207176563391,-0.06251936463807439,2.0629720717656337,3.526620979775828,1
0.1,11,0.5,2,1,-0.03148603588281662,-0.03125968231903653,2.031486035882817,3.4953612974567916,2
0.1,11,0.5,3,1,-0.015743017941408644,-0.015629841159518598,2.015743017941408,3.479731456297273,3
0.1,11,0.5,4,1,-0.007871508970703989,-0.007814920579759299,2.007871508970704,3.4719165357175137,4
0.1,11,0.5,5,1,-0.003935754485352216,-0.003907460289879872,2.0039357544853518,3.468009075427634,5
0.1,11,0.5,6,1,-0.001967877242676108,-0.001953730144940158,2.0019678772426754,3.466055345282694,6
0.1,11,0.5,7,1,-0.000983938621337721,-0.00097686507247019,2.0009839386213377,3.4650784802102237,7
0.1,11,0.5,8,1,-0.0004919693106690826,-0.000488432536235095,2.0004919693106684,3.4645900476739886,8
0.1,11,0.5,9,1,-0.0002459846553342082,-0.0002442162681171034,2.000245984655334,3.4643458314058715,9
0.1,11,0.5,10,1,-0.00012299232766688206,-0.0001221081340585517,2.0001229923276673,3.4642237232718127,10
0.1,11,0.5,11,1,-6.149616383366308e-05,-6.105406702872074e-05,2.0000614961638337,3.464162669204784,11
