rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.01,11,0.5,2,1.0466565746692826,1.0493173267371152,1.0471975511965976,1.0471975511965976,0.0021197755405175656,2,2,4,2.006150350270419,3.470417276686237,-0.003075175135209607,-0.003157830774241255,True,observe_and_move,
0.01,11,0.5,3,1.046926774316308,1.0482577572802492,1.0471975511965976,1.0471975511965976,0.0010602060836515381,2,2,4,2.0030751751352094,3.4672594459119956,-0.0015375875676046924,-0.0015789153871206274,True,observe_and_move,
0.01,11,0.5,4,1.0470620904892258,1.0477277337037296,1.0471975511965976,1.0471975511965976,0.0005301825071319932,2,2,4,2.0015375875676047,3.4656805305248746,-0.0007687937838023462,-0.0007894576935600917,True,observe_and_move,
0.01,11,0.5,5,1.0471298027619462,1.0474626623023329,1.0471975511965976,1.0471975511965976,0.00026511110573523844,2,2,4,2.000768793783802,3.4648910728313145,-0.0003843968919010621,-0.00039472884678004583,True,observe_and_move,
0.01,11,0.5,6,1.047163672457259,1.0473301117107363,1.0471975511965976,1.0471975511965976,0.00013256051413867986,2,2,4,2.000384396891901,3.464496343984534,-0.00019219844595053104,-0.0001973644233899119,True,observe_and_move,
0.01,11,0.5,7,1.0471806106962036,1.0472638326937633,1.0471975511965976,1.0471975511965976,6.628149716569887e-05,2,2,4,2.0001921984459505,3.464298979561144,-9.609922297526552e-05,-9.868221169484492e-05,True,observe_and_move,
0.01,11,0.5,8,1.0471890806636919,1.0472306922551768,1.0471975511965976,1.0471975511965976,3.3141058579211347e-05,2,2,4,2.000096099222975,3.4642002973494495,-4.8049611487410715e-05,-4.9341105847533484e-05,True,observe_and_move,
0.01,11,0.5,9,1.0471933158594642,1.047214121803383,1.0471975511965976,1.0471975511965976,1.6570606785393238e-05,2,2,4,2.0000480496114874,3.464150956243602,-2.4024805743705357e-05,-2.4670552923877764e-05,True,observe_and_move,
0.01,11,0.5,10,1.0471954335103604,1.047205836519364,1.0471975511965976,1.0471975511965976,8.285322766310443e-06,2,2,4,2.0000240248057444,3.464126285690679,-1.2012402872185746e-05,-1.2335276462271949e-05,True,observe_and_move,
0.01,11,0.5,11,1.0471964923490613,1.047201693862824,1.0471975511965976,1.0471975511965976,4.142666226281122e-06,2,2,4,2.000012012402871,3.464113950414215,-6.006201435537761e-06,-6.167638230358818e-06,True,observe_and_move,
