rho,seed,gain,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.01,11,1.0,1,12,1.8523398366063615,1.2921403859600964,3.138705084613129,1.8518312282977103,1.289761425292083,3.141592653589793,0.002887568976664312,1,3,1.0068212946682342,0.0021754942521535286,0.0,True,4,-0.0068212946682342235,-0.0021754942521535286,True,observe_and_move,
0.01,11,1.0,1,13,1.5716425128456417,1.5695960197010013,3.141238532546643,1.5707963267948966,1.5707963267948966,3.141592653589793,0.001200307093895292,1,3,1.996453918690119,-0.00035411993361026366,4.440892098500626e-16,True,3,0.0035460813098810995,0.00035411993361026366,True,observe_and_move,
0.01,11,1.0,1,14,1.287616990887596,1.8485632104346479,3.136180201322244,1.289761425292083,1.8518312282977103,3.141592653589793,0.0054124522675489395,1,3,3.004163536341231,-0.004048065629254896,4.440892098500626e-16,True,4,-0.004163536341231122,0.004048065629254896,True,observe_and_move,
0.01,11,1.0,2,2,3.141592653589793,1.8518312282977099,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,3,1.8518312282977099,3.141592653589793,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,4,3.141592653589793,1.5707963267948968,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948968,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,5,2.2845207057396624,2.284520705739662,1.7141438957002622,2.2845207057396624,2.2845207057396624,1.7141438957002622,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,6,1.5707963267948966,3.141592653589793,1.5707963267948968,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,7,3.141592653589793,1.289761425292083,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977105,0.0,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,8,2.2845207057396624,1.7141438957002617,2.2845207057396624,2.2845207057396624,1.714143895700262,2.2845207057396624,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,9,1.714143895700262,2.284520705739662,2.284520705739663,1.714143895700262,2.2845207057396624,2.2845207057396624,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,10,1.289761425292083,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,1.8518312282977105,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,12,1.85183122829771,1.289761425292083,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,13,1.5707963267948963,1.5707963267948972,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,6.661338147750939e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,11,1.0,2,14,1.2897614252920828,1.8518312282977105,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,23,1.0,1,2,3.1248193289647688,1.8636710625275406,1.2946949156872771,3.141592653589793,1.85183122829771,1.289761425292083,0.016773324625024344,1,3,1.5077835879091754,2.586291185008083,2.220446049250313e-16,True,4,-0.007783587909175438,0.011785026345232819,True,observe_and_move,
0.01,23,1.0,1,3,1.8462212343583053,3.140156307721832,1.2939350733635266,1.85183122829771,3.141592653589793,1.289761425292083,0.005609993939404756,1,3,2.509294041942626,2.5841567669125642,4.440892098500626e-16,True,4,-0.009294041942625952,0.013919444440751771,True,observe_and_move,
0.01,23,1.0,1,4,3.133957299042481,1.5759610628507945,1.573266945286311,3.141592653589793,1.5707963267948966,1.5707963267948968,0.007635354547312012,1,3,1.0089251816046625,1.7322389739724628,0.0,True,4,-0.008925181604662491,-0.0001881664035856545,True,observe_and_move,
0.01,23,1.0,1,5,2.277064865033484,2.2909361510775654,1.7151842910685369,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.007455840706178218,1,3,2.0084156823235326,1.7302134136126264,4.440892098500626e-16,True,4,-0.008415682323532625,0.0018373939562508212,True,observe_and_move,
0.01,23,1.0,1,6,1.5671688146938334,3.140887635994042,1.5737188213002085,1.5707963267948966,3.141592653589793,1.5707963267948968,0.0036275121010631572,1,3,3.00628765730495,1.7225702554611617,5.3734794391857577e-14,True,3,-0.006287657304949956,0.009480552107715479,True,observe_and_move,
0.01,23,1.0,1,7,3.1409067654811462,1.291089910537657,1.8498168549434892,3.141592653589793,1.289761425292083,1.8518312282977105,0.002014373354221277,1,3,0.5022938269310666,0.8710310104677101,0.0,True,4,-0.0022938269310666115,-0.005005606683271768,True,observe_and_move,
0.01,23,1.0,1,8,2.2815471266452154,1.713539246042857,2.288098934491514,2.2845207057396624,1.714143895700262,2.2845207057396624,0.003578228751851764,1,3,1.5010717791524768,0.8620600001692477,0.0,True,4,-0.0010717791524768039,0.00396540361519071,True,observe_and_move,
0.01,23,1.0,1,9,1.7117446863263637,2.280275370964175,2.2911652498890476,1.714143895700262,2.2845207057396624,2.2845207057396624,0.006644544149385201,1,3,2.500335689878688,0.8582223633860175,4.440892098500626e-16,True,4,-0.00033568987868815015,0.007803040398420835,True,observe_and_move,
